,Cd,Cm,CM,CA,C#d,C#m
Cd,6,9,6,6,5,5
Cm,7,14,14,15,3,1
CM,7,13,14,15,5,3
CA,7,10,11,13,5,7
C#d,5,3,3,7,5,7
C#m,4,1,1,6,4,8
C#M,4,1,1,5,4,7
C#A,3,2,2,4,4,6
Dd,4,4,4,3,4,3
Dm,3,1,3,2,4,1
DM,2,2,1,1,4,1
DA,2,2,1,1,3,2
Ebd,3,2,1,1,3,3
Ebm,3,2,1,1,3,1
EbM,6,4,3,3,2,2
EbA,6,6,6,6,2,2
Ed,10,10,9,6,6,5
Em,10,7,8,12,7,5
EM,9,7,8,11,11,8
EA,7,9,11,13,11,13
Fd,9,9,9,9,9,9
Fm,7,7,7,10,9,8
FM,6,5,7,9,9,7
FA,6,5,7,9,7,9
F#d,0,0,0,0,9,9
F#m,0,0,0,0,7,7
F#M,0,0,0,0,6,5
F#A,0,0,0,0,6,5
Gd,11,8,6,7,0,0
Gm,11,9,7,5,0,0
GM,11,9,9,8,0,0
GA,12,12,12,12,0,0
G#d,10,10,10,7,10,7
G#m,11,9,9,11,10,8
AbM,7,9,9,13,10,9
AbA,7,10,11,13,11,13
Ad,7,6,11,11,10,10
Am,6,4,9,11,11,9
AM,6,4,5,11,7,9
AA,6,5,7,10,7,10
Bbd,5,4,3,2,7,6
Bbm,5,3,3,2,6,4
BbM,5,4,3,2,6,4
BbA,2,2,1,1,6,5
Bd,5,5,5,4,5,4
Bm,2,1,1,2,5,3
BM,3,2,1,2,5,4
BA,6,6,6,6,2,2
