,Cd,Cm,CM,CA,C#d,C#m,C#M,C#A,Dd,Dm,DM,DA,Ebd,Ebm,EbM,EbA,Ed,Em,EM,EA,Fd,Fm,FM,FA,F#d,F#m,F#M,F#A,Gd,Gm,GM,GA,G#d,G#m,AbM,AbA,Ad,Am,AM,AA,Bbd,Bbm,BbM,BbA,Bd,Bm,BM,BA
Cd,6,9,6,6,5,5,5,4,5,4,3,2,7,6,9,9,8,8,8,6,8,6,4,5,0,0,0,0,10,10,10,11,10,11,8,5,6,5,7,7,7,7,7,6,7,6,6,9
Cm,7,14,14,15,3,1,1,3,6,3,3,3,8,5,8,11,11,8,8,13,10,8,6,5,0,0,0,0,7,9,9,12,11,10,11,13,10,8,5,6,8,5,7,5,8,4,5,11
CM,7,13,14,15,5,3,2,4,6,4,3,3,7,4,5,10,9,8,8,13,10,8,8,8,0,0,0,0,5,6,9,11,11,9,9,13,11,11,8,7,7,6,6,5,8,4,4,10
CA,7,10,11,13,5,7,7,7,3,3,2,2,5,4,6,7,7,8,9,11,9,11,11,11,0,0,0,0,6,3,5,9,6,10,10,12,10,12,12,12,7,7,6,4,8,4,4,7
C#d,5,3,3,7,5,7,5,5,6,6,6,5,6,5,4,3,6,4,6,6,5,5,5,5,6,4,3,3,0,0,0,0,6,6,6,7,6,7,6,4,5,4,4,4,4,4,4,3
C#m,4,1,1,6,4,8,8,9,3,1,1,3,5,2,2,2,4,2,3,5,5,3,3,7,6,5,4,2,0,0,0,0,4,5,5,7,6,6,7,8,6,5,3,3,4,3,4,2
C#M,4,1,1,5,4,7,8,9,5,3,2,4,5,3,2,2,3,1,1,4,4,3,3,7,6,5,5,4,0,0,0,0,3,3,5,6,6,5,5,8,6,7,5,4,4,4,3,2
C#A,3,2,2,4,4,6,7,9,5,7,7,7,3,3,2,2,3,2,3,4,4,5,5,7,7,8,8,8,0,0,0,0,4,2,3,5,4,6,6,8,6,8,8,8,4,4,3,2
Dd,4,4,4,3,4,3,3,6,5,7,5,5,5,5,5,4,5,4,3,2,5,3,5,5,6,6,6,4,6,4,3,3,0,0,0,0,6,6,6,7,6,7,6,4,5,4,4,4
Dm,3,1,3,2,4,1,1,6,4,8,8,9,3,1,1,3,5,2,2,2,4,2,3,5,7,6,6,8,6,5,4,2,0,0,0,0,4,5,5,7,6,6,7,8,6,5,3,3
DM,2,2,1,1,4,1,1,5,4,7,8,9,5,3,2,4,5,3,2,2,3,1,1,4,4,6,6,8,6,5,5,4,0,0,0,0,3,3,5,6,6,5,5,8,6,7,5,4
DA,2,2,1,1,3,2,2,3,4,5,6,8,4,6,6,6,2,2,1,1,2,1,2,3,4,7,7,8,7,8,8,8,0,0,0,0,4,2,3,5,4,6,6,8,6,8,8,8
Ebd,3,2,1,1,3,3,3,3,3,3,3,5,5,6,4,4,4,4,4,3,4,3,2,1,4,4,7,7,6,6,6,4,6,4,3,3,0,0,0,0,6,6,6,7,6,7,6,4
Ebm,3,2,1,1,3,1,2,2,3,1,1,5,4,7,7,8,2,0,0,2,4,1,1,1,4,3,6,7,7,6,6,8,6,5,4,2,0,0,0,0,4,5,5,7,6,6,7,8
EbM,6,4,3,3,2,2,1,1,3,1,1,4,4,6,7,8,4,2,1,3,4,2,1,1,4,1,3,7,4,6,6,8,6,5,5,4,0,0,0,0,3,3,5,6,6,5,5,8
EbA,6,6,6,6,2,2,1,1,3,2,2,3,4,5,6,8,4,6,6,6,2,2,1,1,4,2,4,7,4,7,7,8,7,8,8,8,0,0,0,0,4,2,3,5,4,6,6,8
Ed,10,10,9,6,6,5,4,4,3,3,3,3,3,3,3,5,8,10,6,6,7,7,7,5,5,3,2,1,6,5,11,11,9,9,9,6,9,6,5,6,0,0,0,0,10,10,10,11
Em,10,7,8,12,7,5,2,3,3,1,2,2,3,1,1,5,7,12,12,14,4,1,0,3,5,2,2,1,6,4,9,11,11,9,9,13,9,7,6,4,0,0,0,0,7,8,8,11
EM,9,7,8,11,11,8,5,5,2,2,1,1,2,1,1,3,6,9,11,13,7,4,1,4,5,4,2,1,6,2,3,10,5,8,8,12,8,6,6,5,0,0,0,0,5,5,7,9
EA,7,9,11,13,11,13,13,13,2,2,1,1,2,1,1,2,8,10,12,15,10,13,13,13,2,2,1,1,6,3,5,10,7,12,12,15,12,15,15,15,0,0,0,0,8,5,5,8
Fd,9,9,9,9,9,9,8,5,6,5,4,4,2,2,2,2,2,2,2,4,7,9,5,5,5,5,5,3,5,3,2,1,5,4,10,10,8,8,8,5,8,5,5,6,0,0,0,0
Fm,7,7,7,10,9,8,10,13,9,7,4,5,2,1,2,1,2,1,1,4,8,13,13,15,2,1,1,2,5,2,2,1,5,3,10,12,12,10,10,15,10,9,9,7,0,0,0,0
FM,6,5,7,9,9,7,8,13,11,10,7,7,2,2,1,1,2,1,1,3,8,11,13,15,4,3,2,3,5,4,2,1,6,2,3,10,7,10,10,15,10,9,9,8,0,0,0,0
FA,6,5,7,9,7,9,11,13,11,13,13,13,2,2,1,1,2,1,1,2,8,10,12,15,6,7,7,7,2,2,1,1,6,3,5,10,7,12,12,15,12,15,15,15,0,0,0,0
F#d,0,0,0,0,9,9,9,10,9,10,10,7,8,7,6,6,2,2,2,2,2,2,2,4,8,11,10,10,5,5,5,3,5,3,2,1,6,4,12,12,10,10,10,8,10,8,8,9
F#m,0,0,0,0,7,7,7,10,9,8,10,13,9,7,4,5,2,1,2,1,2,1,1,4,10,17,17,17,2,1,1,2,5,2,2,1,5,3,10,12,12,10,10,15,10,9,9,7
F#M,0,0,0,0,6,5,7,8,8,7,8,12,10,10,7,6,2,2,1,1,2,1,1,3,8,15,15,15,4,3,2,3,4,3,2,1,6,2,3,8,7,8,8,13,8,7,7,6
F#A,0,0,0,0,6,5,7,8,7,8,10,12,10,12,12,12,2,2,1,1,2,1,1,2,8,13,13,15,5,6,6,6,2,2,1,1,6,3,5,8,7,10,10,13,10,13,13,13
Gd,11,8,6,7,0,0,0,0,8,8,8,9,8,9,9,6,7,6,5,5,2,2,2,2,9,6,8,13,8,11,10,10,4,4,4,3,4,3,2,1,6,4,10,10,8,8,8,6
Gm,11,9,7,5,0,0,0,0,7,7,7,9,8,8,10,12,8,7,4,4,2,1,2,1,9,3,4,13,8,15,15,15,2,1,1,2,4,2,2,1,5,3,8,10,10,8,8,13
GM,11,9,9,8,0,0,0,0,6,5,7,8,8,7,8,12,10,10,7,6,2,2,1,1,9,3,4,13,8,15,15,15,4,3,2,3,4,3,2,1,6,2,3,8,7,8,8,13
GA,12,12,12,12,0,0,0,0,6,5,7,8,7,8,10,12,10,12,12,12,2,2,1,1,7,3,6,11,8,13,13,15,5,6,6,6,2,2,1,1,6,3,5,8,7,10,10,13
G#d,10,10,10,7,10,7,5,6,0,0,0,0,7,7,7,8,7,8,9,6,7,6,4,4,9,9,9,6,9,6,6,11,6,9,8,8,3,3,3,2,3,2,2,1,6,4,8,8
G#m,11,9,9,11,10,8,6,4,0,0,0,0,6,6,6,8,7,7,9,11,7,6,4,4,7,4,8,4,9,3,3,11,6,13,13,13,1,1,1,1,3,2,2,1,5,3,7,8
AbM,7,9,9,13,10,9,9,8,0,0,0,0,7,6,8,9,9,8,9,13,11,11,9,8,5,4,5,4,9,3,3,11,7,14,14,15,5,4,2,3,4,3,2,2,7,2,3,8
AbA,7,10,11,13,11,13,13,13,0,0,0,0,6,5,7,8,8,9,11,13,11,13,13,13,6,6,5,3,7,3,4,9,7,12,12,15,5,7,7,7,3,3,2,2,7,4,4,7
Ad,7,6,11,11,10,10,10,8,10,8,6,7,0,0,0,0,9,9,9,10,9,10,11,8,6,5,7,7,9,9,9,6,9,6,6,11,8,11,9,9,4,4,4,3,4,3,4,3
Am,6,4,9,11,11,9,9,13,10,9,7,5,0,0,0,0,8,8,8,10,9,9,11,13,8,6,4,5,7,4,8,4,9,3,3,11,7,14,14,15,3,2,1,2,4,2,2,2
AM,6,4,5,11,7,9,9,13,10,9,9,8,0,0,0,0,7,6,8,9,9,8,9,13,12,11,6,5,5,4,5,4,9,3,3,11,7,14,14,15,5,4,2,3,4,3,2,2
AA,6,5,7,10,7,10,11,13,11,13,13,13,0,0,0,0,6,5,7,8,8,9,11,13,12,13,13,13,6,6,5,3,7,3,4,9,7,12,12,15,5,7,7,7,3,3,2,2
Bbd,5,4,3,2,7,6,9,9,8,8,8,6,8,6,4,5,0,0,0,0,7,7,7,8,10,11,8,5,6,5,7,7,7,7,7,6,7,6,6,9,8,9,7,7,3,3,3,2
Bbm,5,3,3,2,6,4,7,9,9,7,7,11,8,7,5,3,0,0,0,0,6,6,6,8,10,9,9,11,8,6,4,5,7,4,6,4,7,3,3,9,7,12,12,13,2,1,0,1
BbM,5,4,3,2,6,4,5,9,7,7,7,11,8,7,7,6,0,0,0,0,5,4,6,7,10,8,8,11,10,9,6,5,5,4,5,4,7,3,3,9,7,12,12,13,4,3,1,2
BbA,2,2,1,1,6,5,7,8,7,8,9,11,9,11,11,11,0,0,0,0,4,3,5,6,6,10,10,11,10,11,11,11,6,6,5,3,7,3,4,7,7,10,10,13,4,6,6,6
Bd,5,5,5,4,5,4,3,2,7,6,9,9,8,8,8,6,8,6,4,5,0,0,0,0,10,10,10,11,10,11,8,5,6,5,7,7,7,7,7,6,7,6,6,9,8,9,7,7
Bm,2,1,1,2,5,3,3,2,6,4,7,9,9,7,7,11,8,7,5,3,0,0,0,0,6,8,8,11,10,9,9,11,8,6,4,5,7,4,6,4,7,3,3,9,7,12,12,13
BM,3,2,1,2,5,4,3,2,6,4,5,9,7,7,7,11,8,7,7,6,0,0,0,0,5,6,8,10,10,8,8,11,10,9,6,5,5,4,5,4,7,3,3,9,7,12,12,13
BA,6,6,6,6,2,2,1,1,6,5,7,8,7,8,9,11,9,11,11,11,0,0,0,0,6,3,6,10,6,10,10,11,10,11,11,11,6,6,5,3,7,3,4,7,7,10,10,13
