,Cd,Cm,CM,CA,C#d,C#m,C#M,C#A,Dd,Dm,DM,DA,Ebd,Ebm,EbM,EbA,Ed,Em,EM,EA,Fd,Fm,FM,FA,F#d,F#m,F#M,F#A,Gd,Gm,GM,GA,G#d,G#m,AbM,AbA,Ad,Am,AM,AA,Bbd,Bbm,BbM,BbA,Bd,Bm,BM,BA
Cd,5,7,7,7,0,0,0,0,0,0,0,0,3,4,7,7,12,12,11,8,11,8,7,9,0,0,0,0,12,12,12,14,10,12,7,7,7,6,8,8,10,10,10,6,10,6,7,12
Cm,8,13,12,10,0,0,0,0,0,0,0,0,3,4,6,7,12,12,11,11,11,11,8,6,0,0,0,0,9,11,11,14,10,11,11,11,8,7,5,5,8,7,9,6,10,5,6,12
CM,6,13,13,11,0,0,0,0,0,0,0,0,3,2,4,7,10,13,12,13,11,11,11,8,0,0,0,0,7,8,11,14,10,11,11,12,12,11,6,7,6,6,6,3,10,4,4,12
CA,6,14,14,12,0,0,0,0,0,0,0,0,3,2,4,7,7,14,13,16,11,12,11,11,0,0,0,0,8,6,9,14,7,12,14,14,12,12,12,11,6,5,5,3,8,5,5,12
C#d,4,4,5,6,7,7,5,5,5,5,5,3,4,3,2,2,8,6,9,12,7,10,10,9,10,9,7,7,0,0,0,0,6,6,8,10,8,10,11,8,7,6,5,5,4,4,4,3
C#m,4,2,3,6,6,9,9,9,4,3,2,2,4,2,2,1,6,4,8,12,9,11,11,16,10,11,8,5,0,0,0,0,5,6,8,10,8,10,13,14,8,8,4,4,4,3,4,2
C#M,4,2,2,5,5,7,9,9,6,5,3,3,4,3,2,1,4,2,2,10,5,11,11,16,10,11,9,7,0,0,0,0,5,3,8,8,8,8,9,14,10,11,8,6,4,4,3,2
C#A,4,3,3,4,5,6,7,9,6,8,8,7,3,3,1,1,4,2,3,8,5,10,12,16,12,16,14,14,0,0,0,0,5,3,5,6,7,8,10,14,10,12,12,12,4,4,3,2
Dd,4,5,5,3,5,3,4,6,6,7,5,4,4,4,4,3,4,3,1,2,7,8,12,12,10,10,8,7,8,7,7,7,0,0,0,0,8,8,8,10,8,8,9,6,7,6,5,5
Dm,4,3,4,2,5,1,2,6,5,9,9,8,3,2,1,2,4,2,1,1,5,6,11,12,12,11,9,14,8,9,8,5,0,0,0,0,7,8,8,10,8,8,11,12,8,8,4,4
DM,4,4,3,1,5,1,1,5,4,7,9,8,5,4,2,3,4,3,1,1,3,3,4,10,7,11,9,14,8,9,9,7,0,0,0,0,6,4,8,8,8,8,9,12,10,11,8,6
DA,4,4,3,1,5,2,2,4,4,6,7,8,5,7,7,7,3,3,0,1,3,3,5,8,7,10,10,14,10,14,14,14,0,0,0,0,6,4,5,6,7,8,10,12,10,12,12,12
Ebd,7,6,5,3,5,4,4,3,4,3,4,5,5,6,4,4,4,4,3,3,3,3,2,2,9,8,10,10,8,8,8,7,8,5,6,6,0,0,0,0,8,8,8,8,8,8,9,6
Ebm,8,8,4,2,5,2,3,2,4,1,2,5,4,8,8,8,3,2,0,2,3,2,2,1,7,6,9,10,10,9,9,14,8,7,7,4,0,0,0,0,7,8,8,8,8,8,11,12
EbM,10,11,8,5,4,3,2,1,4,1,1,5,4,7,8,8,5,4,1,3,3,3,2,1,6,3,4,10,5,9,9,14,8,7,9,7,0,0,0,0,4,4,8,8,8,8,9,12
EbA,10,13,13,11,4,3,2,1,4,2,2,4,4,6,6,8,5,7,6,7,2,3,1,1,6,3,5,8,5,8,10,14,10,12,14,14,0,0,0,0,4,4,5,6,7,8,10,12
Ed,8,9,10,5,5,3,3,3,4,4,4,3,4,3,3,5,9,11,6,9,3,4,4,3,4,3,2,2,7,6,10,10,8,8,10,7,10,7,6,6,0,0,0,0,8,8,8,8
Em,8,8,11,11,6,5,2,2,4,2,3,2,4,1,1,5,8,15,14,17,2,2,1,2,4,2,2,1,5,4,9,10,10,9,11,14,10,9,7,4,0,0,0,0,7,8,8,8
EM,8,8,9,11,8,7,5,4,3,3,2,1,4,1,1,5,8,14,14,17,4,4,2,3,4,3,2,1,6,3,4,10,5,9,11,14,10,9,9,7,0,0,0,0,4,4,8,8
EA,7,9,11,11,8,8,8,8,3,3,2,1,4,2,2,4,8,12,12,17,5,7,7,7,3,3,1,1,6,3,5,8,5,8,12,14,12,14,14,14,0,0,0,0,4,4,5,6
Fd,8,9,9,9,7,7,6,4,4,3,3,3,4,4,4,3,9,7,7,14,8,13,9,9,4,4,4,3,4,3,2,2,5,6,12,12,10,10,10,7,8,5,4,6,0,0,0,0
Fm,7,8,8,9,7,6,7,8,5,5,2,2,4,2,3,2,9,4,4,14,8,17,17,17,3,2,1,2,4,2,2,1,5,4,11,12,12,11,11,14,8,7,5,4,0,0,0,0
FM,4,4,8,9,7,6,7,8,8,7,5,3,2,2,2,1,9,4,4,14,8,17,17,17,5,4,1,2,4,3,2,1,6,3,5,12,6,11,11,14,8,7,7,5,0,0,0,0
FA,4,4,5,7,5,7,8,8,8,8,8,7,2,2,2,1,9,5,5,12,8,15,15,17,6,7,6,6,3,3,1,1,6,3,6,10,6,10,12,14,10,12,12,12,0,0,0,0
F#d,0,0,0,0,7,7,7,7,7,7,6,3,3,2,3,3,9,9,9,8,9,8,8,14,9,13,7,7,4,4,4,3,4,3,2,2,6,7,12,12,8,8,8,5,8,5,4,6
F#m,0,0,0,0,5,6,6,7,7,6,7,7,4,4,2,2,9,6,8,6,9,5,5,14,9,17,15,15,3,2,1,2,4,2,2,1,6,5,11,12,10,9,9,12,8,7,5,4
F#M,0,0,0,0,3,3,6,7,7,6,7,7,7,6,4,3,5,5,5,3,9,4,4,14,8,17,15,15,4,3,1,2,4,3,2,1,6,3,5,12,6,9,9,12,8,7,7,5
F#A,0,0,0,0,4,3,4,6,5,7,8,7,7,7,7,7,5,5,5,3,9,5,5,12,8,15,15,15,6,6,6,6,3,3,1,1,6,3,6,10,6,10,10,12,10,12,12,12
Gd,8,5,4,6,0,0,0,0,7,7,7,6,6,6,5,3,6,5,7,7,9,11,11,8,11,8,6,12,7,11,7,7,4,4,4,3,4,3,2,2,6,5,10,10,8,8,8,5
Gm,8,7,5,4,0,0,0,0,5,6,6,6,6,5,6,7,8,8,5,5,9,6,10,6,11,5,5,12,9,15,15,15,3,2,1,2,4,2,2,1,6,5,9,10,10,9,9,12
